year	plotid	water	water4	snow	sun_date	precip_est_mm
2018	1A	Addition	Addition	Normal	119	136.58830531056805
2019	1A	Addition	Addition	Normal	157	137.65325906938423
2020	1A	Addition	Addition	Normal	125	178.38114083793255
2018	1B	Control	Control	Normal	119	40.338305310568025
2019	1B	Control	Control	Normal	157	60.65325906938422
2020	1B	Control	Control	Normal	125	97.88114083793253
2018	1C	Control	Mock rainout	Normal	119	40.338305310568025
2019	1C	Control	Mock rainout	Normal	157	60.65325906938422
2020	1C	Control	Mock rainout	Normal	125	97.88114083793253
2018	1D	Reduction	Reduction	Normal	119	21.918765897670095
2019	1D	Reduction	Reduction	Normal	157	38.2970898611176
2020	1D	Reduction	Reduction	Normal	125	72.51174882333433
2018	2A	Control	Control	Early	114	41.11591119607295
2019	2A	Control	Control	Normal	160	60.65325906938422
2020	2A	Control	Control	Early	120	97.88114083793253
2018	2B	Control	Mock rainout	Early	114	41.11591119607295
2019	2B	Control	Mock rainout	Normal	160	60.65325906938422
2020	2B	Control	Mock rainout	Early	120	97.88114083793253
2018	2C	Reduction	Reduction	Early	114	22.69637178317502
2019	2C	Reduction	Reduction	Normal	160	38.2970898611176
2020	2C	Reduction	Reduction	Early	120	72.51174882333433
2018	2D	Addition	Addition	Early	114	137.36591119607294
2019	2D	Addition	Addition	Normal	160	137.65325906938423
2020	2D	Addition	Addition	Early	120	178.38114083793255
2018	3A	Reduction	Reduction	Normal	119	21.918765897670095
2019	3A	Reduction	Reduction	Normal	158	38.2970898611176
2020	3A	Reduction	Reduction	Normal	125	72.51174882333433
2018	3B	Control	Mock rainout	Normal	119	40.338305310568025
2019	3B	Control	Mock rainout	Normal	158	60.65325906938422
2020	3B	Control	Mock rainout	Normal	125	97.88114083793253
2018	3C	Addition	Addition	Normal	119	136.58830531056805
2019	3C	Addition	Addition	Normal	158	137.65325906938423
2020	3C	Addition	Addition	Normal	125	178.38114083793255
2018	3D	Control	Control	Normal	119	40.338305310568025
2019	3D	Control	Control	Normal	158	60.65325906938422
2020	3D	Control	Control	Normal	125	97.88114083793253
2019	4A	Addition	Addition	Early	147	139.8888759902109
2020	4A	Addition	Addition	Early	121	178.38114083793255
2018	4A	Addition	Addition	Early	114	137.36591119607294
2019	4B	Control	Mock rainout	Early	147	62.88887599021088
2020	4B	Control	Mock rainout	Early	121	97.88114083793253
2018	4B	Control	Mock rainout	Early	114	41.11591119607295
2019	4C	Control	Control	Early	147	62.88887599021088
2020	4C	Control	Control	Early	121	97.88114083793253
2018	4C	Control	Control	Early	114	41.11591119607295
2019	4D	Reduction	Reduction	Early	147	40.532706781944256
2020	4D	Reduction	Reduction	Early	121	72.51174882333433
2018	4D	Reduction	Reduction	Early	114	22.69637178317502
2018	5A	Addition	Addition	Early	114	137.36591119607294
2019	5A	Addition	Addition	Early	155	137.65325906938423
2020	5A	Addition	Addition	Early	119	178.38114083793255
2018	5B	Control	Mock rainout	Early	114	41.11591119607295
2019	5B	Control	Mock rainout	Early	155	60.65325906938422
2020	5B	Control	Mock rainout	Early	119	97.88114083793253
2018	5C	Reduction	Reduction	Early	114	22.69637178317502
2019	5C	Reduction	Reduction	Early	155	38.2970898611176
2020	5C	Reduction	Reduction	Early	119	72.51174882333433
2018	5D	Control	Control	Early	114	41.11591119607295
2019	5D	Control	Control	Early	155	60.65325906938422
2020	5D	Control	Control	Early	119	97.88114083793253
2018	6A	Control	Control	Normal	119	40.338305310568025
2019	6A	Control	Control	Normal	156	60.65325906938422
2020	6A	Control	Control	Normal	127	97.88114083793253
2018	6B	Reduction	Reduction	Normal	119	21.918765897670095
2019	6B	Reduction	Reduction	Normal	156	38.2970898611176
2020	6B	Reduction	Reduction	Normal	127	72.51174882333433
2018	6C	Control	Mock rainout	Normal	119	40.338305310568025
2019	6C	Control	Mock rainout	Normal	156	60.65325906938422
2020	6C	Control	Mock rainout	Normal	127	97.88114083793253
2018	6D	Addition	Addition	Normal	119	136.58830531056805
2019	6D	Addition	Addition	Normal	156	137.65325906938423
2020	6D	Addition	Addition	Normal	127	178.38114083793255
